player,position,team,is_active,year_signed,years,value,apy,player_page,otc_id,height,weight,college,draft_year,draft_round,draft_overall,draft_team
Aaron Donald,IDL,Rams,TRUE,2018,6,135000000,22500000,https://overthecap.com/player/aaron-donald/2952/,2952,"6'0""",285,Pittsburgh,2014,1,13,Rams
Leonard Williams,IDL,Giants,TRUE,2021,3,63000000,21000000,https://overthecap.com/player/leonard-williams/3854/,3854,"6'5""",302,USC,2015,1,6,Jets
DeForest Buckner,IDL,Colts,TRUE,2020,4,84000000,21000000,https://overthecap.com/player/deforest-buckner/4720/,4720,"6'7""",291,Oregon,2016,1,7,NA
Chris Jones,IDL,Chiefs,TRUE,2020,4,80000000,20000000,https://overthecap.com/player/chris-jones/4750/,4750,"6'6""",310,Mississippi State,2016,2,37,Chiefs
Jonathan Allen,IDL,Commanders,TRUE,2021,4,72000000,18000000,https://overthecap.com/player/jonathan-allen/5601/,5601,"6'3""",286,Alabama,2017,1,17,Commanders
Vita Vea,IDL,Buccaneers,TRUE,2021,4,71000000,17750000,https://overthecap.com/player/vita-vea/6897/,6897,"6'4""",347,Washington,2018,1,12,Buccaneers
Kenny Clark,IDL,Packers,TRUE,2020,4,70000000,17500000,https://overthecap.com/player/kenny-clark/4739/,4739,"6'3""",314,UCLA,2016,1,27,Packers
Cameron Heyward,IDL,Steelers,TRUE,2020,4,65600000,16400000,https://overthecap.com/player/cameron-heyward/1585/,1585,"6'5""",288,Ohio State,2011,1,31,Steelers
Grady Jarrett,IDL,Falcons,TRUE,2022,3,49500000,16500000,https://overthecap.com/player/grady-jarrett/3985/,3985,"6'1""",304,Clemson,2015,5,137,Falcons
J.J. Watt,IDL,Cardinals,TRUE,2021,2,28000000,14000000,https://overthecap.com/player/j-j-watt/1669/,1669,"6'5""",289,Wisconsin,2011,1,11,Texans
Stephon Tuitt,IDL,Steelers,TRUE,2017,5,60000000,12000000,https://overthecap.com/player/stephon-tuitt/2985/,2985,"6'5""",304,Notre Dame,2014,2,46,Steelers
Fletcher Cox,IDL,Eagles,TRUE,2022,1,14000000,14000000,https://overthecap.com/player/fletcher-cox/1824/,1824,"6'4""",300,Mississippi State,2012,1,12,Eagles
D.J. Reader,IDL,Bengals,TRUE,2020,4,53000000,13250000,https://overthecap.com/player/d-j-reader/4879/,4879,"6'3""",327,Clemson,2016,5,166,Texans
Javon Hargrave,IDL,Eagles,TRUE,2020,3,39000000,13000000,https://overthecap.com/player/javon-hargrave/4802/,4802,"6'1""",309,South Carolina State,2016,3,89,Steelers
Dalvin Tomlinson,IDL,Vikings,TRUE,2021,2,21000000,10500000,https://overthecap.com/player/dalvin-tomlinson/5641/,5641,"6'3""",310,Alabama,2017,2,55,Giants
Grover Stewart,IDL,Colts,TRUE,2020,3,30750000,10250000,https://overthecap.com/player/grover-stewart/5730/,5730,"6'5""",295,Albany State (GA),2017,4,144,Colts
Shelby Harris,IDL,Seahawks,TRUE,2021,3,27000000,9000000,https://overthecap.com/player/shelby-harris/3174/,3174,"6'2""",288,Illinois State,2014,7,235,Raiders
B.J. Hill,IDL,Bengals,TRUE,2022,3,30000000,10000000,https://overthecap.com/player/b-j-hill/6954/,6954,"6'4""",315,North Carolina State,2018,3,69,Giants
Folorunso Fatukasi,IDL,Jaguars,TRUE,2022,3,30000000,10000000,https://overthecap.com/player/folorunso-fatukasi/7065/,7065,"6'4""",303,Connecticut,2018,6,180,Jets
D.J. Jones,IDL,Broncos,TRUE,2022,3,30000000,10000000,https://overthecap.com/player/d-j-jones/5784/,5784,"6'1""",319,Mississippi,2017,6,198,NA
David Onyemata,IDL,Saints,TRUE,2020,3,27000000,9000000,https://overthecap.com/player/david-onyemata/4833/,4833,"6'4""",300,Manitoba (Canada),2016,4,120,Saints
Michael Brockers,IDL,Lions,TRUE,2021,3,24000000,8000000,https://overthecap.com/player/michael-brockers/1835/,1835,"6'5""",326,LSU,2012,1,14,Rams
Quinnen Williams,IDL,Jets,TRUE,2019,4,32529372,8132343,https://overthecap.com/player/quinnen-williams/7794/,7794,"6'4""",295,Alabama,2019,1,3,Jets
Roy Robertson-Harris,IDL,Jaguars,TRUE,2021,3,23400000,7800000,https://overthecap.com/player/roy-robertson-harris/5389/,5389,"6'7""",268,UTEP,2016,NA,NA,Bears
Denico Autry,IDL,Titans,TRUE,2021,3,21500000,7666667,https://overthecap.com/player/denico-autry/3776/,3776,"6'5""",273,Mississippi State,2014,NA,NA,Raiders
Davon Godchaux,IDL,Patriots,TRUE,2021,2,15000000,7500000,https://overthecap.com/player/davon-godchaux/5764/,5764,"6'3""",310,LSU,2017,5,178,Dolphins
Maliek Collins,IDL,Texans,TRUE,2022,2,17000000,8500000,https://overthecap.com/player/maliek-collins/4780/,4780,"6'2""",311,Nebraska,2016,3,67,Cowboys
Sebastian Joseph-Day,IDL,Chargers,TRUE,2022,3,24000000,8000000,https://overthecap.com/player/sebastian-joseph-day/7080/,7080,"6'4""",305,Rutgers,2018,6,195,Rams
Dean Lowry,IDL,Packers,TRUE,2019,3,20325000,6775000,https://overthecap.com/player/dean-lowry/4850/,4850,"6'6""",296,Northwestern,2016,4,137,Packers
Poona Ford,IDL,Seahawks,TRUE,2021,2,12345000,6172500,https://overthecap.com/player/poona-ford/7581/,7581,"5'11""",312,Texas,2018,NA,NA,Seahawks
Austin Johnson,IDL,Chargers,TRUE,2022,2,14000000,7000000,https://overthecap.com/player/austin-johnson/4756/,4756,"6'4""",314,Penn State,2016,2,43,Titans
DaQuan Jones,IDL,Bills,TRUE,2022,2,14000000,7000000,https://overthecap.com/player/daquan-jones/3051/,3051,"6'4""",322,Penn State,2014,4,112,Titans
Harrison Phillips,IDL,Vikings,TRUE,2022,3,19500000,6500000,https://overthecap.com/player/harrison-phillips/6981/,6981,"6'4""",295,Stanford,2018,3,96,Bills
A'Shawn Robinson,IDL,Rams,TRUE,2020,3,18000000,6000000,https://overthecap.com/player/ashawn-robinson/4759/,4759,"6'4""",307,Alabama,2016,2,46,Lions
Malcom Brown,IDL,Jaguars,TRUE,2021,2,11000000,5500000,https://overthecap.com/player/malcom-brown/3880/,3880,"6'2""",319,Texas,2015,1,32,Patriots
Sheldon Rankins,IDL,Jets,TRUE,2021,2,11000000,5500000,https://overthecap.com/player/sheldon-rankins/4725/,4725,"6'1""",299,Louisville,2016,1,12,Saints
Calais Campbell,IDL,Ravens,TRUE,2022,1,12500000,6250000,https://overthecap.com/player/calais-campbell/385/,385,"6'8""",300,Miami,2008,2,50,Cardinals
Derrick Brown,IDL,Panthers,TRUE,2020,4,23621404,5905351,https://overthecap.com/player/derrick-brown/8747/,8747,"6'5""",318,Auburn,2020,1,7,Panthers
Dorance Armstrong Jr.,IDL,Cowboys,TRUE,2022,2,12000000,6000000,https://overthecap.com/player/dorance-armstrong-jr/7001/,7001,"6'4""",246,Kansas,2018,4,116,Cowboys
Justin Jones,IDL,Bears,TRUE,2022,2,12000000,6000000,https://overthecap.com/player/justin-jones/6969/,6969,"6'2""",312,North Carolina State,2018,3,84,Chargers
Matt Ioannidis,IDL,Panthers,TRUE,2022,1,5900000,5900000,https://overthecap.com/player/matt-ioannidis/4865/,4865,"6'3""",299,Temple,2016,5,152,Commanders
Michael Pierce,IDL,Ravens,TRUE,2022,3,16500000,5500000,https://overthecap.com/player/michael-pierce/5249/,5249,"6'0""",329,Samford,2016,NA,NA,Ravens
Bilal Nichols,IDL,Raiders,TRUE,2022,2,11000000,5500000,https://overthecap.com/player/bilal-nichols/7030/,7030,"6'4""",290,Delaware,2018,5,145,Bears
Ed Oliver,IDL,Bills,TRUE,2019,4,19675154,4918789,https://overthecap.com/player/ed-oliver/7800/,7800,"6'3""",292,Houston,2019,1,9,Bills
Chris Wormley,IDL,Steelers,TRUE,2021,2,4500000,4500000,https://overthecap.com/player/chris-wormley/5660/,5660,"6'5""",298,Michigan,2017,3,74,Ravens
Jordan Phillips,IDL,Bills,TRUE,2022,1,5000000,5000000,https://overthecap.com/player/jordan-phillips/3900/,3900,"6'6""",334,Oklahoma,2015,2,52,Dolphins
Quinton Jefferson,IDL,Seahawks,TRUE,2022,2,9500000,4750000,https://overthecap.com/player/quinton-jefferson/4860/,4860,"6'4""",291,Maryland,2016,5,147,Seahawks
Derek Wolfe,IDL,Ravens,TRUE,2021,3,12000000,4000000,https://overthecap.com/player/derek-wolfe/15/,15,"6'5""",285,Cincinnati,2012,2,36,Broncos
William Gholston,IDL,Buccaneers,TRUE,2022,1,4500000,4500000,https://overthecap.com/player/william-gholston/2311/,2311,"6'6""",281,Michigan State,2013,4,126,Buccaneers
Tim Settle,IDL,Bills,TRUE,2022,2,9000000,4500000,https://overthecap.com/player/tim-settle/7048/,7048,"6'3""",335,Virginia Tech,2018,5,163,Commanders
Al Woods,IDL,Seahawks,TRUE,2022,2,9000000,4500000,https://overthecap.com/player/al-woods/1577/,1577,"6'4""",307,LSU,2010,4,123,Saints
Mario Edwards Jr.,IDL,Bears,TRUE,2021,3,11660391,3886797,https://overthecap.com/player/mario-edwards-jr/3883/,3883,"6'3""",279,Florida State,2015,2,35,Raiders
Adam Butler,IDL,Dolphins,TRUE,2021,2,7500000,3750000,https://overthecap.com/player/adam-butler/6120/,6120,"6'5""",300,Vanderbilt,2017,NA,NA,Patriots
Christian Wilkins,IDL,Dolphins,TRUE,2019,4,15439098,3859774,https://overthecap.com/player/christian-wilkins/7804/,7804,"6'4""",300,Clemson,2019,1,13,Dolphins
Jordan Davis,IDL,Eagles,TRUE,2022,4,17009278,4252320,https://overthecap.com/player/jordan-davis/10058/,10058,"6'6""",341,Georgia,2022,1,13,Eagles
Da'Ron Payne,IDL,Commanders,TRUE,2018,4,14418360,3604590,https://overthecap.com/player/daron-payne/6898/,6898,"6'2""",311,Alabama,2018,1,13,Commanders
Javon Kinlaw,IDL,49ers,TRUE,2020,4,15488700,3872175,https://overthecap.com/player/javon-kinlaw/8754/,8754,"6'6""",310,South Carolina,2020,1,14,NA
Taven Bryan,IDL,Browns,TRUE,2022,1,4000000,4000000,https://overthecap.com/player/taven-bryan/6914/,6914,"6'4""",291,Florida,2018,1,29,Jaguars
Dexter Lawrence,IDL,Giants,TRUE,2019,4,13248040,3312010,https://overthecap.com/player/dexter-lawrence/7808/,7808,"6'4""",340,Clemson,2019,1,17,Giants
Jeffery Simmons,IDL,Titans,TRUE,2019,4,12663754,3165939,https://overthecap.com/player/jeffery-simmons/7810/,7810,"6'4""",300,Mississippi State,2019,1,19,Titans
Lawrence Guy,IDL,Patriots,TRUE,2021,4,11500000,2875000,https://overthecap.com/player/lawrence-guy/576/,576,"6'4""",318,Arizona State,2011,7,233,Packers
Jarran Reed,IDL,Packers,TRUE,2022,1,3250000,3250000,https://overthecap.com/player/jarran-reed/4762/,4762,"6'3""",307,Alabama,2016,2,49,Seahawks
Devonte Wyatt,IDL,Packers,TRUE,2022,4,12861182,3215296,https://overthecap.com/player/devonte-wyatt/10073/,10073,"6'3""",304,Georgia,2022,1,28,Packers
Jerry Tillery,IDL,Chargers,TRUE,2019,4,11422158,2855540,https://overthecap.com/player/jerry-tillery/7819/,7819,"6'6""",305,Notre Dame,2019,1,28,Chargers
Tyson Alualu,IDL,Steelers,TRUE,2021,2,5500000,2750000,https://overthecap.com/player/tyson-alualu/960/,960,"6'3""",295,California,2010,1,10,Jaguars
Angelo Blackson,IDL,Bears,TRUE,2021,2,5500000,2750000,https://overthecap.com/player/angelo-blackson/3948/,3948,"6'4""",318,Auburn,2015,4,100,Titans
Mike Purcell,IDL,Broncos,TRUE,2020,3,11500000,2875000,https://overthecap.com/player/mike-purcell/2835/,2835,"6'3""",303,Wyoming,2013,NA,NA,NA
Zach Sieler,IDL,Dolphins,TRUE,2020,3,8575000,2858333,https://overthecap.com/player/zach-sieler/7123/,7123,"6'6""",290,Ferris State,2018,7,238,Ravens
Rakeem Nunez-Roches,IDL,Buccaneers,TRUE,2021,2,5000000,2500000,https://overthecap.com/player/rakeem-nunez-roches/4065/,4065,"6'2""",307,Southern Miss,2015,6,217,Chiefs
Derrick Nnadi,IDL,Chiefs,TRUE,2022,1,2750000,2750000,https://overthecap.com/player/derrick-nnadi/6960/,6960,"6'1""",312,Florida State,2018,3,75,Chiefs
Logan Hall,IDL,Buccaneers,TRUE,2022,4,10280442,2570111,https://overthecap.com/player/logan-hall/10078/,10078,"6'6""",285,Houston,2022,2,33,Buccaneers
Montravius Adams,IDL,Steelers,TRUE,2022,2,5000000,2500000,https://overthecap.com/player/montravius-adams/5679/,5679,"6'4""",304,Auburn,2017,3,93,Packers
Shy Tuttle,IDL,Saints,TRUE,2022,1,2433000,2433000,https://overthecap.com/player/shy-tuttle/8360/,8360,"6'2""",308,Tennessee,2019,NA,NA,Saints
Christian Barmore,IDL,Patriots,TRUE,2021,4,8522268,2130567,https://overthecap.com/player/christian-barmore/9502/,9502,"6'5""",310,Alabama,2021,2,38,Patriots
Levi Onwuzurike,IDL,Lions,TRUE,2021,4,8148892,2037223,https://overthecap.com/player/levi-onwuzurike/9505/,9505,"6'3""",293,Washington,2021,2,41,Lions
Ross Blacklock,IDL,Texans,TRUE,2020,4,7947452,1986863,https://overthecap.com/player/ross-blacklock/8780/,8780,"6'4""",305,TCU,2020,2,40,Texans
Phidarian Mathis,IDL,Commanders,TRUE,2022,4,8149552,2037388,https://overthecap.com/player/phidarian-mathis/10092/,10092,"6'4""",310,Alabama,2022,2,47,Commanders
Marlon Davidson,IDL,Falcons,TRUE,2020,4,6912374,1728094,https://overthecap.com/player/marlon-davidson/8787/,8787,"6'3""",278,Auburn,2020,2,47,Falcons
Hassan Ridgeway,IDL,49ers,TRUE,2022,1,1800000,1800000,https://overthecap.com/player/hassan-ridgeway/4829/,4829,"6'3""",303,Texas,2016,4,116,Colts
Kemoko Turay,IDL,49ers,TRUE,2022,1,1700000,1700000,https://overthecap.com/player/kemoko-turay/6937/,6937,"6'5""",252,Rutgers,2018,2,52,Colts
Josh Tupou,IDL,Bengals,TRUE,2022,2,3000000,1500000,https://overthecap.com/player/josh-tupou/6022/,6022,"6'3""",353,Colorado,2017,NA,NA,Bengals
Raekwon Davis,IDL,Dolphins,TRUE,2020,4,5655510,1413878,https://overthecap.com/player/raekwon-davis/8796/,8796,"6'7""",306,Alabama,2020,2,56,Dolphins
Alim McNeill,IDL,Lions,TRUE,2021,4,5129182,1282296,https://overthecap.com/player/alim-mcneill/9536/,9536,"6'2""",320,North Carolina State,2021,3,72,Lions
Milton Williams,IDL,Eagles,TRUE,2021,4,5110182,1277546,https://overthecap.com/player/milton-williams/9537/,9537,"6'4""",278,Louisiana Tech,2021,3,73,Eagles
Osa Odighizuwa,IDL,Cowboys,TRUE,2021,4,5086198,1271550,https://overthecap.com/player/osa-odighizuwa/9539/,9539,"6'2""",279,UCLA,2021,3,75,Cowboys
Adam Gotsis,IDL,Jaguars,TRUE,2022,1,1435000,1435000,https://overthecap.com/player/adam-gotsis/4776/,4776,"6'4""",287,Georgia Tech,2016,2,63,Broncos
Trysten Hill,IDL,Cowboys,TRUE,2019,4,4878196,1219549,https://overthecap.com/player/trysten-hill/7849/,7849,"6'2""",330,UCF,2019,2,58,Cowboys
Travis Jones,IDL,Ravens,TRUE,2022,4,5306660,1326665,https://overthecap.com/player/travis-jones/10121/,10121,"6'4""",327,UConn,2022,3,76,Ravens
Johnathan Hankins,IDL,Raiders,TRUE,2022,1,1325000,1325000,https://overthecap.com/player/johnathan-hankins/2259/,2259,"6'2""",320,Ohio State,2013,2,49,Giants
Anthony Rush,IDL,Falcons,TRUE,2022,1,1300000,1300000,https://overthecap.com/player/anthony-rush/8433/,8433,"6'5""",350,UAB,2019,NA,NA,Eagles
DeMarvin Leal,IDL,Steelers,TRUE,2022,4,5186896,1296724,https://overthecap.com/player/demarvin-leal/10129/,10129,"6'4""",284,Texas A&M,2022,3,84,Steelers
Justin Madubuike,IDL,Ravens,TRUE,2020,4,4853310,1213328,https://overthecap.com/player/justin-madubuike/8811/,8811,"6'3""",304,Texas A&M,2020,3,71,Ravens
John Jenkins,IDL,Dolphins,TRUE,2022,1,1272500,1272500,https://overthecap.com/player/john-jenkins/2226/,2226,"6'3""",359,Georgia,2013,3,82,Saints
Christian Covington,IDL,Chargers,TRUE,2022,1,1272500,1272500,https://overthecap.com/player/christian-covington/4064/,4064,"6'2""",289,Rice,2015,6,216,Texans
Justin Ellis,IDL,Giants,TRUE,2022,1,1272500,1272500,https://overthecap.com/player/justin-ellis/3046/,3046,"6'1""",334,Louisiana Tech,2014,4,107,Raiders
Zachary Carter,IDL,Bengals,TRUE,2022,4,5079936,1269984,https://overthecap.com/player/zachary-carter/10140/,10140,"6'4""",282,Florida,2022,3,95,Bengals
Davon Hamilton,IDL,Jaguars,TRUE,2020,4,4810681,1202670,https://overthecap.com/player/davon-hamilton/8813/,8813,"6'4""",320,Ohio State,2020,3,73,Jaguars
Vernon Butler,IDL,Raiders,TRUE,2022,1,1250000,1250000,https://overthecap.com/player/vernon-butler/4742/,4742,"6'4""",323,Louisiana Tech,2016,1,30,Panthers
Jay Tufele,IDL,Jaguars,TRUE,2021,4,4305684,1076421,https://overthecap.com/player/jay-tufele/9570/,9570,"6'3""",305,USC,2021,4,106,Jaguars
Neville Gallimore,IDL,Cowboys,TRUE,2020,4,4606022,1151506,https://overthecap.com/player/neville-gallimore/8822/,8822,"6'2""",304,Oklahoma,2020,3,82,Cowboys
Bobby Brown III,IDL,Rams,TRUE,2021,4,4236532,1059133,https://overthecap.com/player/bobby-brown-iii/9581/,9581,"6'4""",325,Texas A&M,2021,4,117,Rams
Tyler Shelvin,IDL,Bengals,TRUE,2021,4,4216560,1054140,https://overthecap.com/player/tyler-shelvin/9586/,9586,"6'3""",346,LSU,2021,4,122,Bengals
Zach Allen,IDL,Cardinals,TRUE,2019,4,4293762,1073441,https://overthecap.com/player/zach-allen/7856/,7856,"6'5""",285,Boston College,2019,3,65,Cardinals
Taylor Stallworth,IDL,Chiefs,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/taylor-stallworth/7510/,7510,"6'2""",305,South Carolina,2018,NA,NA,Saints
Pat O'Connor,IDL,Buccaneers,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/pat-oconnor/5836/,5836,"6'4""",270,Eastern Michigan,2017,7,250,Lions
Isaac Rochell,IDL,Browns,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/isaac-rochell/5811/,5811,"6'4""",280,Notre Dame,2017,7,225,Chargers
Vincent Taylor,IDL,Falcons,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/vincent-taylor/5780/,5780,"6'3""",304,Oklahoma State,2017,6,194,Dolphins
Carl Davis,IDL,Patriots,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/carl-davis/3938/,3938,"6'5""",320,Iowa,2015,3,90,Ravens
Andrew Billings,IDL,Raiders,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/andrew-billings/4835/,4835,"6'1""",311,Baylor,2016,4,122,Bengals
Carlos Watkins,IDL,Cowboys,TRUE,2022,1,1187500,1187500,https://overthecap.com/player/carlos-watkins/5728/,5728,"6'3""",309,Clemson,2017,4,142,Texans
Tommy Togiai,IDL,Browns,TRUE,2021,4,4157144,1039286,https://overthecap.com/player/tommy-togiai/9596/,9596,"6'2""",300,Ohio State,2021,4,132,Browns
Jordan Elliott,IDL,Browns,TRUE,2020,4,4493751,1123438,https://overthecap.com/player/jordan-elliott/8828/,8828,"6'4""",315,Missouri,2020,3,88,Browns
DeShawn Williams,IDL,Broncos,TRUE,2022,1,1165000,1165000,https://overthecap.com/player/deshawn-williams/4453/,4453,"6'1""",295,Clemson,2015,NA,NA,Bengals
Daniel Ekuale,IDL,Patriots,TRUE,2022,1,1160000,1160000,https://overthecap.com/player/daniel-ekuale/7279/,7279,"6'3""",300,Washington State,2018,NA,NA,Browns
McTelvin Agim,IDL,Broncos,TRUE,2020,4,4399047,1099762,https://overthecap.com/player/mctelvin-agim/8835/,8835,"6'3""",309,Arkansas,2020,3,95,Broncos
Dre'Mont Jones,IDL,Broncos,TRUE,2019,4,4158800,1039700,https://overthecap.com/player/dremont-jones/7862/,7862,"6'3""",286,Ohio State,2019,3,71,Broncos
Perrion Winfrey,IDL,Browns,TRUE,2022,4,4472800,1118200,https://overthecap.com/player/perrion-winfrey/10153/,10153,"6'4""",290,Oklahoma,2022,4,108,Browns
Eyioma Uwazurike,IDL,Broncos,TRUE,2022,4,4425872,1106468,https://overthecap.com/player/eyioma-uwazurike/10161/,10161,"6'6""",313,Iowa State,2022,4,116,Broncos
Neil Farrell Jr.,IDL,Raiders,TRUE,2022,4,4380304,1095076,https://overthecap.com/player/neil-farrell-jr/10171/,10171,"6'4""",339,LSU,2022,4,126,Raiders
Ta'Quon Graham,IDL,Falcons,TRUE,2021,4,3830612,957653,https://overthecap.com/player/taquon-graham/9612/,9612,"6'4""",294,Texas,2021,5,148,Falcons
Kyle Peko,IDL,Raiders,TRUE,2022,1,1085000,1085000,https://overthecap.com/player/kyle-peko/5126/,5126,"6'1""",305,Oregon State,2016,NA,NA,Broncos
Maurice Hurst,IDL,49ers,TRUE,2022,1,1085000,1085000,https://overthecap.com/player/maurice-hurst/7025/,7025,"6'2""",280,Michigan,2018,5,140,Raiders
Nathan Shepherd,IDL,Jets,TRUE,2022,1,1085000,1085000,https://overthecap.com/player/nathan-shepherd/6957/,6957,"6'5""",300,Fort Hays State,2018,3,72,Jets
Isaiahh Loudermilk,IDL,Steelers,TRUE,2021,4,3800288,950072,https://overthecap.com/player/isaiahh-loudermilk/9620/,9620,"6'7""",293,Wisconsin,2021,5,156,Steelers
Daviyon Nixon,IDL,Panthers,TRUE,2021,4,3798552,949638,https://overthecap.com/player/daviyon-nixon/9622/,9622,"6'3""",305,Iowa,2021,5,158,Panthers
Tedarrell Slaton,IDL,Packers,TRUE,2021,4,3760520,940130,https://overthecap.com/player/tedarrell-slaton/9637/,9637,"6'5""",340,Florida,2021,5,173,Packers
Leki Fotu,IDL,Cardinals,TRUE,2020,4,4068472,1017118,https://overthecap.com/player/leki-fotu/8854/,8854,"6'5""",335,Utah,2020,4,114,Cardinals
Chase Winovich,IDL,Browns,TRUE,2019,4,3827312,956828,https://overthecap.com/player/chase-winovich/7868/,7868,"6'3""",255,Michigan,2019,3,77,Patriots
Marlon Tuipulotu,IDL,Eagles,TRUE,2021,4,3675912,918978,https://overthecap.com/player/marlon-tuipulotu/9653/,9653,"6'3""",305,USC,2021,6,189,Eagles
James Lynch,IDL,Vikings,TRUE,2020,4,3985992,996498,https://overthecap.com/player/james-lynch/8870/,8870,"6'4""",295,Baylor,2020,4,130,Vikings
Quinton Bohanna,IDL,Cowboys,TRUE,2021,4,3668476,917119,https://overthecap.com/player/quinton-bohanna/9656/,9656,"6'4""",357,Kentucky,2021,6,192,Cowboys
Rashard Lawrence,IDL,Cardinals,TRUE,2020,4,3979084,994771,https://overthecap.com/player/rashard-lawrence/8871/,8871,"6'2""",308,LSU,2020,4,131,Cardinals
Roy Lopez,IDL,Texans,TRUE,2021,4,3662844,915711,https://overthecap.com/player/roy-lopez/9659/,9659,"6'2""",318,Arizona,2021,6,195,Texans
Jonathan Marshall,IDL,Jets,TRUE,2021,4,3648900,912225,https://overthecap.com/player/jonathan-marshall/9671/,9671,"6'3""",317,Arkansas,2021,6,207,Jets
Kevin Strong,IDL,Titans,TRUE,2021,2,1815000,907500,https://overthecap.com/player/kevin-strong/8292/,8292,"6'4""",285,UTSA,2019,NA,NA,Lions
Noah Spence,IDL,Bengals,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/noah-spence/4752/,4752,"6'2""",251,Eastern Kentucky,2016,2,39,Buccaneers
Tanzel Smart,IDL,Jets,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/tanzel-smart/5775/,5775,"6'1""",296,Tulane,2017,6,189,Rams
Jaleel Johnson,IDL,Saints,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/jaleel-johnson/5695/,5695,"6'3""",316,Iowa,2017,4,109,Vikings
T.Y. McGill,IDL,Vikings,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/t-y-mcgill/4517/,4517,"6'0""",299,North Carolina State,2015,NA,NA,Seahawks
Eli Ankou,IDL,Bills,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/eli-ankou/6238/,6238,"6'3""",290,UCLA,2017,NA,NA,Texans
Sheldon Day,IDL,Browns,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/sheldon-day/4816/,4816,"6'1""",293,Notre Dame,2016,4,103,Jaguars
Jalyn Holmes,IDL,Giants,TRUE,2022,1,1035000,1035000,https://overthecap.com/player/jalyn-holmes/6987/,6987,"6'5""",270,Ohio State,2018,4,102,Vikings
Phil Hoskins,IDL,Panthers,TRUE,2021,4,3591244,897811,https://overthecap.com/player/phil-hoskins/9696/,9696,"6'5""",315,Kentucky,2021,7,232,Panthers
Jonathan Harris,IDL,Broncos,TRUE,2021,1,2685000,895000,https://overthecap.com/player/jonathan-harris/8120/,8120,"6'5""",282,Lindenwood,2019,NA,NA,Bears
Khyiris Tonga,IDL,Bears,TRUE,2021,4,3563648,890912,https://overthecap.com/player/khyiris-tonga/9714/,9714,"6'4""",321,BYU,2021,7,250,Bears
Khalen Saunders,IDL,Chiefs,TRUE,2019,4,3673180,918295,https://overthecap.com/player/khalen-saunders/7875/,7875,"6'2""",310,Western Illinois,2019,3,84,Chiefs
D.J. Davidson,IDL,Giants,TRUE,2022,4,4014120,1003530,https://overthecap.com/player/d-j-davidson/10192/,10192,"6'1""",328,Arizona State,2022,5,147,Giants
Michael Dogbe,IDL,Cardinals,TRUE,2022,1,1000000,1000000,https://overthecap.com/player/michael-dogbe/8040/,8040,"6'3""",280,Temple,2019,7,249,Cardinals
Kingsley Keke,IDL,Cardinals,TRUE,2022,1,1000000,1000000,https://overthecap.com/player/kingsley-keke/7941/,7941,"6'4""",305,Texas A&M,2019,5,150,Packers
Thomas Booker,IDL,Texans,TRUE,2022,4,3996408,999102,https://overthecap.com/player/thomas-booker/10195/,10195,"6'3""",301,Stanford,2022,5,150,Bears
Eric Johnson,IDL,Colts,TRUE,2022,4,3980740,995185,https://overthecap.com/player/eric-johnson/10204/,10204,"6'4""",299,Missouri State,2022,5,159,Colts
Otito Ogbonnia,IDL,Chargers,TRUE,2022,4,3978888,994722,https://overthecap.com/player/otito-ogbonnia/10205/,10205,"6'4""",323,UCLA,2022,5,160,Chargers
Matthew Butler,IDL,Raiders,TRUE,2022,4,3928960,982240,https://overthecap.com/player/matthew-butler/10220/,10220,"6'4""",298,Tennessee,2022,5,175,Raiders
John Ridgeway,IDL,Cowboys,TRUE,2022,4,3902556,975639,https://overthecap.com/player/john-ridgeway/10223/,10223,"6'5""",320,Arkansas,2022,5,178,Cowboys
Bruce Hector,IDL,Lions,TRUE,2022,1,965000,965000,https://overthecap.com/player/bruce-hector/7382/,7382,"6'2""",296,South Florida,2018,NA,NA,Eagles
Matt Dickerson,IDL,Cardinals,TRUE,2022,1,965000,965000,https://overthecap.com/player/matt-dickerson/7192/,7192,"6'5""",292,UCLA,2018,NA,NA,Titans
Deadrin Senat,IDL,Buccaneers,TRUE,2022,1,965000,965000,https://overthecap.com/player/deadrin-senat/6975/,6975,"6'1""",305,South Florida,2018,3,90,Falcons
Isaiah Mack,IDL,Ravens,TRUE,2022,1,965000,965000,https://overthecap.com/player/isaiah-mack/8443/,8443,"6'2""",280,Chattanooga,2019,NA,NA,Titans
Bryan Mone,IDL,Seahawks,TRUE,2022,1,965000,965000,https://overthecap.com/player/bryan-mone/8140/,8140,"6'4""",325,Michigan,2019,NA,NA,Seahawks
