ID,OffensiveYardarge,RB,TE,Down,ToGo,TotalToGo,Formation,EPA,RusherStrength,BlockerStrength,DefenderStrength
3,7,2,1,1,10,62,3-4,0.333809,0.04024106073619201,0.03986718748264072,0.02674109687121545
5,2,1,1,1,10,49,3-4,-0.306672,0.04024106073619201,0.03986718748264072,0.02674109687121545
7,1,2,1,1,10,35,3-4,-0.455984,0.04024106073619201,0.03986718748264072,0.023741827777771153
13,1,1,1,1,10,58,3-4,-0.352166,0.01625963808332278,0.0361047542210841,0.02317080336218691
25,0,1,1,1,10,76,4-3,-0.670211,0.01625963808332278,0.0361047542210841,0.014244444445076467
29,2,2,1,2,8,66,3-4,-4.433206,0.04024106073619201,0.03986718748264072,0.02612628009527837
30,0,1,1,1,10,36,4-3,-0.523144,0.01625963808332278,0.0361047542210841,0.025403309961276065
33,3,1,1,2,5,63,3-4,-0.283231,0.04024106073619201,0.03986718748264072,0.025068226006034672
39,4,1,1,1,10,60,3-4,-0.023988,0.01625963808332278,0.0361047542210841,0.0304822787541167
46,18,1,1,1,10,25,3-4,0.728481,0.01625963808332278,0.0361047542210841,0.023434721054742404
49,2,1,1,1,10,75,3-4,-0.359615,0.04024106073619201,0.03986718748264072,0.02612628009527837
56,0,1,1,2,1,31,4-3,-0.894121,0.01625963808332278,0.0361047542210841,0.01772048519378568
63,12,2,1,1,10,58,3-4,0.773837,0.04024106073619201,0.03986718748264072,0.02674109687121545
64,1,2,1,1,10,46,3-4,-0.400845,0.04024106073619201,0.03986718748264072,0.02969075780742726
65,7,1,1,2,9,45,3-4,0.27968,0.04024106073619201,0.03986718748264072,0.02612628009527837
67,13,2,1,1,10,35,3-4,0.742657,0.04024106073619201,0.03986718748264072,0.02674109687121545
74,1,1,1,1,10,42,4-3,-0.440511,0.01625963808332278,0.0361047542210841,0.017585476732687146
79,0,2,1,1,10,78,3-4,-0.646349,0.04024106073619201,0.03986718748264072,0.02674109687121545
81,1,2,1,1,10,67,3-4,-0.413244,0.04024106073619201,0.03986718748264072,0.025068226006034672
85,3,1,0,2,10,56,3-4,-0.417618,0.04024106073619201,0.03986718748264072,0.02388148731981813
91,0,1,1,1,10,68,3-4,-0.544702,0.01625963808332278,0.0361047542210841,0.02266444552552778
96,5,1,1,2,9,58,3-4,-0.125661,0.04024106073619201,0.03986718748264072,0.02969075780742726
101,1,1,1,4,1,67,3-4,2.236435,0.01625963808332278,0.0361047542210841,0.022442213322207194
105,4,2,1,1,10,24,3-4,-0.071675,0.04024106073619201,0.03986718748264072,0.021543134954627445
108,-1,1,1,2,1,73,3-4,-1.144418,0.01625963808332278,0.0361047542210841,0.01835575226190177
122,11,1,1,1,10,75,4-3,0.707095,0.0190038838273121,0.04132343770290404,0.023453859425441606
123,6,1,1,1,10,64,3-4,0.321363,0.0190038838273121,0.04132343770290404,0.021725481500842105
126,2,1,2,1,10,53,4-3,-0.283339,0.0190038838273121,0.04132343770290404,0.03172569419730285
129,5,1,2,2,10,40,4-3,0.047875,0.0190038838273121,0.04132343770290404,0.021725481500842105
130,1,1,2,1,10,75,3-4,-0.491758,0.03732296859373035,0.03967516837635983,0.01793740484296605
133,0,2,2,1,10,79,4-3,-0.682626,0.0190038838273121,0.04132343770290404,0.026135018082629063
136,5,1,1,1,10,77,3-4,0.116087,0.03732296859373035,0.03967516837635983,0.0151409149212627
138,57,1,3,3,1,68,4-3,3.445848,0.03732296859373035,0.03967516837635983,0.015339571551933957
143,7,1,2,2,10,43,3-4,0.180048,0.03732296859373035,0.03967516837635983,0.0174200024802564
144,6,1,2,3,3,36,3-4,0.937756,0.03732296859373035,0.03967516837635983,0.01963745867506295
146,2,1,2,2,8,28,3-4,-0.380637,0.03732296859373035,0.03967516837635983,0.01793740484296605
148,12,2,2,1,10,66,4-3,0.566838,0.0190038838273121,0.04132343770290404,0.03172569419730285
149,5,2,1,1,5,49,4-3,0.313558,0.0190038838273121,0.04132343770290404,0.029115441326117597
150,7,1,2,1,10,44,4-3,0.373753,0.0190038838273121,0.04132343770290404,0.029115441326117597
151,2,1,2,2,3,37,4-3,-0.311379,0.0190038838273121,0.04132343770290404,0.021725481500842105
152,2,2,2,3,1,35,4-3,0.654571,0.0190038838273121,0.04132343770290404,0.02068704782249311
154,8,1,1,2,2,25,4-3,0.44212,0.0190038838273121,0.04132343770290404,0.021725481500842105
158,2,1,2,2,8,73,3-4,-0.468528,0.03732296859373035,0.03967516837635983,0.015279093236494495
161,5,1,1,2,4,73,4-3,0.403209,0.0190038838273121,0.04132343770290404,0.021725481500842105
165,6,1,2,1,10,78,3-4,0.308536,0.03732296859373035,0.03967516837635983,0.01781418862786799
170,15,1,2,2,4,52,3-4,0.948516,0.0190038838273121,0.04132343770290404,0.019937833333155755
171,4,2,2,1,10,37,4-3,-0.049066,0.0190038838273121,0.04132343770290404,0.03556530677394674
180,5,1,1,1,10,75,3-4,0.138211,0.03732296859373035,0.03967516837635983,0.015294935190135278
181,1,1,2,2,5,70,3-4,-0.681713,0.03732296859373035,0.03967516837635983,0.018606831882455384
183,9,1,3,1,10,58,3-4,0.614208,0.03732296859373035,0.03967516837635983,0.018583170730573906
186,7,1,1,2,6,39,3-4,0.648612,0.03732296859373035,0.03967516837635983,0.018004497311058493
191,11,2,1,2,1,66,3-4,0.04885,0.0190038838273121,0.04132343770290404,0.03556530677394674
192,1,2,1,1,10,55,4-3,-0.35422,0.0190038838273121,0.04132343770290404,0.03556530677394674
195,15,1,2,1,10,75,3-4,0.839986,0.03732296859373035,0.03967516837635983,0.015279093236494495
196,4,1,3,1,10,60,3-4,-0.025264000000000002,0.03732296859373035,0.03967516837635983,0.015279093236494495
199,2,1,2,1,10,36,4-3,-0.320742,0.0190038838273121,0.04132343770290404,0.03172569419730285
207,5,1,1,1,10,39,3-4,0.110785,0.0190038838273121,0.04132343770290404,0.021725481500842105
208,2,1,1,2,5,34,3-4,-0.355224,0.0190038838273121,0.04132343770290404,0.021725481500842105
209,5,2,1,3,3,32,4-3,1.080668,0.0190038838273121,0.04132343770290404,0.026135018082629063
218,4,2,1,2,10,75,4-3,-0.233507,0.0190038838273121,0.04132343770290404,0.03204698594284946
220,-2,2,1,1,10,58,4-3,-0.849942,0.0190038838273121,0.04132343770290404,0.027221697387203217
222,1,2,2,3,3,51,4-3,-1.405358,0.0190038838273121,0.04132343770290404,0.023453859425441606
232,8,2,1,2,3,68,4-3,0.311101,0.0190038838273121,0.04132343770290404,0.03685166949993031
233,6,2,1,1,10,60,3-4,0.241507,0.0190038838273121,0.04132343770290404,0.03685166949993031
234,-2,1,2,2,4,54,4-3,-0.973768,0.0190038838273121,0.04132343770290404,0.021725481500842105
235,1,2,1,1,10,51,3-4,-0.436023,0.0190038838273121,0.04132343770290404,0.026135018082629063
236,8,1,2,2,9,50,4-3,0.698862,0.0190038838273121,0.04132343770290404,0.02068704782249311
237,0,1,1,3,1,42,4-3,-1.834089,0.0190038838273121,0.04132343770290404,0.02068704782249311
247,11,1,1,1,10,65,3-4,0.562943,0.030967027012518366,0.03549909671984428,0.03986625740944688
249,5,1,1,2,8,52,3-4,-0.035746,0.030967027012518366,0.03549909671984428,0.03986625740944688
250,4,2,1,3,3,47,3-4,0.983382,0.030967027012518366,0.03549909671984428,0.03986625740944688
252,1,2,1,2,4,37,4-3,-0.387213,0.030967027012518366,0.03549909671984428,0.03986625740944688
255,4,1,1,1,10,64,4-3,-0.025193,0.009871877969661443,0.036718727402598135,0.034664007556568274
256,3,1,1,2,16,70,4-3,-0.753083,0.009871877969661443,0.036718727402598135,0.034664007556568274
257,0,1,1,3,13,67,0-0,-0.711094,0.009871877969661443,0.036718727402598135,0.04152052274242365
258,0,1,1,1,20,75,3-4,-0.599333,0.030967027012518366,0.03549909671984428,0.02750921731880926
261,4,2,1,2,8,53,3-4,-0.236384,0.030967027012518366,0.03549909671984428,0.010808375445007434
262,6,1,1,3,4,49,3-4,1.228406,0.030967027012518366,0.03549909671984428,0.029186396369906987
270,2,1,2,1,10,56,3-4,-0.23234,0.030967027012518366,0.03549909671984428,0.027115002291725573
279,5,2,1,2,8,40,3-4,0.069285,0.030967027012518366,0.03549909671984428,0.03211881941716351
287,8,2,1,1,10,62,3-4,0.473661,0.030967027012518366,0.03549909671984428,0.04063042999496165
289,25,1,1,3,2,54,3-4,1.869079,0.030967027012518366,0.03549909671984428,0.0338571488497046
290,5,1,2,1,10,29,3-4,0.03038,0.030967027012518366,0.03549909671984428,0.02217538947066191
291,24,1,2,2,5,24,3-4,2.339257,0.030967027012518366,0.03549909671984428,0.015978014618667866
299,2,1,1,2,10,60,4-3,-0.517012,0.030967027012518366,0.03549909671984428,0.03986625740944688
300,6,1,1,1,10,24,4-3,0.109399,0.030967027012518366,0.03549909671984428,0.03986625740944688
306,-1,1,2,2,10,75,0-0,-0.778185,0.009871877969661443,0.036718727402598135,0.0353356478890075
308,3,2,1,2,10,74,3-4,-0.344598,0.030967027012518366,0.03549909671984428,0.03986625740944688
310,5,1,2,1,10,61,3-4,0.081347,0.030967027012518366,0.03549909671984428,0.03986625740944688
311,3,1,2,2,5,56,3-4,-0.155414,0.030967027012518366,0.03549909671984428,0.01587523717842505
313,2,1,1,4,1,52,3-4,1.775283,0.030967027012518366,0.03549909671984428,0.027668443151954478
314,15,1,1,1,10,50,3-4,0.723088,0.030967027012518366,0.03549909671984428,0.027668443151954478
315,20,1,2,1,10,35,3-4,1.201164,0.030967027012518366,0.03549909671984428,0.015700276254400812
320,4,1,2,1,10,72,4-3,-0.056364,0.009871877969661443,0.036718727402598135,0.034664007556568274
323,1,1,1,1,10,67,4-3,-0.413244,0.030967027012518366,0.03549909671984428,0.03211881941716351
326,7,1,1,1,10,75,4-3,0.587494,0.009871877969661443,0.036718727402598135,0.01488785151111047
327,1,1,2,2,3,68,4-3,-0.871311,0.009871877969661443,0.036718727402598135,0.01488785151111047
329,0,1,1,1,10,64,4-3,1.493745,0.009871877969661443,0.036718727402598135,0.022230014707089372
331,3,1,1,2,10,36,4-3,-0.155053,0.009871877969661443,0.036718727402598135,0.022230014707089372
332,9,1,1,3,7,33,0-0,1.478494,0.009871877969661443,0.036718727402598135,0.03654921616033926
337,2,1,1,1,10,75,3-4,-0.359615,0.030967027012518366,0.03549909671984428,0.03938038032045957
340,16,1,2,1,10,50,3-4,0.773845,0.030967027012518366,0.03549909671984428,0.020997165073903302
341,9,1,1,1,10,34,3-4,0.483062,0.030967027012518366,0.03549909671984428,0.020997165073903302
342,2,1,3,2,1,25,3-4,0.161033,0.030967027012518366,0.03549909671984428,0.04018247991004747
343,4,2,2,1,10,23,3-4,-0.055825,0.030967027012518366,0.03549909671984428,0.02644541142334855
348,3,1,3,2,7,72,3-4,-0.321889,0.030967027012518366,0.03549909671984428,0.03938038032045957
350,2,1,2,1,10,64,3-4,-0.277557,0.030967027012518366,0.03549909671984428,0.019319986022805574
351,-1,1,3,1,10,57,3-4,-0.613674,0.030967027012518366,0.03549909671984428,0.03709306019533557
355,4,1,1,1,10,54,4-3,-0.080687,0.009871877969661443,0.036718727402598135,0.034664007556568274
366,3,1,1,2,10,77,4-3,-0.343411,0.007066130927046504,0.042331760004245836,0.025047978005124833
368,7,1,1,1,10,57,4-3,0.272324,0.033768230363296674,0.03717675303231835,0.009007087150789532
370,2,2,2,3,2,49,4-3,0.742637,0.033768230363296674,0.03717675303231835,0.016586904541788617
377,3,1,1,2,10,68,4-3,-0.503357,0.007066130927046504,0.042331760004245836,0.027787530170601808
379,16,1,1,1,10,48,4-3,0.756329,0.033768230363296674,0.03717675303231835,0.015031577147773822
381,3,2,1,2,10,32,4-3,-0.191899,0.033768230363296674,0.03717675303231835,0.020591519720645938
385,4,2,1,2,12,72,4-3,-0.28457,0.007066130927046504,0.042331760004245836,0.033204244221813325
387,2,2,1,1,10,64,4-3,-0.277557,0.033768230363296674,0.03717675303231835,0.01185974400176015
388,5,2,1,2,8,62,4-3,-0.004056,0.033768230363296674,0.03717675303231835,0.01185974400176015
393,6,1,1,1,10,52,4-3,0.184885,0.033768230363296674,0.03717675303231835,0.009007087150789532
395,11,1,1,1,10,26,4-3,0.650983,0.033768230363296674,0.03717675303231835,0.009007087150789532
400,-2,2,1,1,10,75,4-3,-0.916735,0.007066130927046504,0.042331760004245836,0.01885167537845633
403,5,2,1,1,10,76,4-3,0.133406,0.033768230363296674,0.03717675303231835,0.018597398211487093
404,2,1,1,2,5,71,4-3,-0.524,0.033768230363296674,0.03717675303231835,0.018597398211487093
405,13,1,1,3,13,79,4-3,2.213119,0.033768230363296674,0.03717675303231835,0.01087129878049689
406,1,2,1,1,10,66,4-3,-0.418294,0.033768230363296674,0.03717675303231835,0.020164256453632196
410,3,1,1,2,2,68,4-3,-0.184953,0.007066130927046504,0.042331760004245836,0.02236719569163445
411,1,1,1,1,5,60,4-3,-0.044192,0.007066130927046504,0.042331760004245836,0.02236719569163445
413,12,1,1,3,4,59,4-3,1.472677,0.007066130927046504,0.042331760004245836,0.02332426669245517
414,2,1,1,1,10,47,4-3,-0.325567,0.007066130927046504,0.042331760004245836,0.017257929162849555
417,1,1,1,2,7,30,4-3,-0.464634,0.007066130927046504,0.042331760004245836,0.0313112997597296
423,11,1,1,1,10,75,4-3,0.643682,0.033768230363296674,0.03717675303231835,0.013549226778737272
425,4,2,1,2,10,64,4-3,-0.256224,0.033768230363296674,0.03717675303231835,0.013549226778737272
433,3,1,2,1,10,72,4-3,-0.200111,0.007066130927046504,0.042331760004245836,0.018556185097053444
436,0,1,2,2,10,51,4-3,-0.894497,0.007066130927046504,0.042331760004245836,0.025047978005124833
439,1,1,2,2,6,76,4-3,-0.570588,0.033768230363296674,0.03717675303231835,0.019372456318312508
441,1,1,1,1,10,68,4-3,-0.412948,0.033768230363296674,0.03717675303231835,0.01291972367655242
445,1,1,2,2,10,62,4-3,-0.819066,0.007066130927046504,0.042331760004245836,0.020516148687073438
446,6,2,1,1,10,51,4-3,0.161884,0.007066130927046504,0.042331760004245836,0.026401794409998094
447,3,1,3,2,4,45,4-3,0.100955,0.007066130927046504,0.042331760004245836,0.026401794409998094
455,4,1,1,2,9,63,4-3,-0.212261,0.033768230363296674,0.03717675303231835,0.018597398211487093
457,10,1,1,1,10,21,4-3,0.448815,0.007066130927046504,0.042331760004245836,0.025047978005124833
473,1,1,2,1,10,45,4-3,-0.430851,0.007066130927046504,0.042331760004245836,0.02304696322874712
474,-2,1,2,2,9,44,4-3,-1.120426,0.007066130927046504,0.042331760004245836,0.015741180176971313
475,1,1,3,3,11,46,4-3,-1.132461,0.007066130927046504,0.042331760004245836,0.02165874525562642
482,-1,2,2,3,11,21,4-3,-0.801411,0.007066130927046504,0.042331760004245836,0.01956097469567019
488,5,1,1,1,10,75,3-4,0.145501,0.03796216075595333,0.03446802007773319,0.04295659064405559
489,6,1,1,2,5,70,3-4,0.561594,0.03796216075595333,0.03446802007773319,0.04474084037883275
491,0,1,1,2,7,61,3-4,-0.852762,0.03796216075595333,0.03446802007773319,0.028222858783144757
497,2,1,2,1,10,75,3-4,-0.359615,0.023141448544722432,0.04219553610623163,0.028502784790013308
498,3,1,1,2,8,73,3-4,-0.334547,0.023141448544722432,0.04219553610623163,0.0326533973132883
500,5,1,1,1,15,70,3-4,-0.127533,0.03796216075595333,0.03446802007773319,0.03663658044978216
501,5,1,1,2,10,65,3-4,-0.128959,0.03796216075595333,0.03446802007773319,0.03511796099621718
508,1,1,1,1,10,63,3-4,-0.433556,0.03796216075595333,0.03446802007773319,0.012827493787813565
511,5,1,1,1,10,45,3-4,0.022277,0.03796216075595333,0.03446802007773319,0.04295659064405559
514,-4,1,1,1,10,35,3-4,-0.981516,0.03796216075595333,0.03446802007773319,0.03348352229025376
516,3,1,2,1,10,59,3-4,-0.104263,0.023141448544722432,0.04219553610623163,0.032924729523716945
517,15,1,1,2,7,56,4-3,1.129348,0.023141448544722432,0.04219553610623163,0.0326533973132883
523,2,1,2,1,10,75,3-4,-0.376269,0.03796216075595333,0.03446802007773319,0.03834234547108723
525,3,1,1,1,10,64,3-4,-0.149181,0.03796216075595333,0.03446802007773319,0.023608613610176396
526,3,1,1,2,7,61,3-4,-0.328854,0.03796216075595333,0.03446802007773319,0.023608613610176396
532,0,1,1,1,10,44,3-4,-0.534694,0.03796216075595333,0.03446802007773319,0.033705086498324786
533,4,1,1,2,10,44,3-4,-0.339775,0.03796216075595333,0.03446802007773319,0.04295659064405559
535,31,1,2,4,1,35,3-4,3.909923,0.03796216075595333,0.03446802007773319,0.034365272515244474
539,-1,2,2,1,10,75,3-4,-0.744225,0.023141448544722432,0.04219553610623163,0.028502784790013308
540,5,1,1,1,10,75,3-4,0.145501,0.03796216075595333,0.03446802007773319,0.04295659064405559
541,-3,1,1,2,5,70,3-4,-1.272104,0.03796216075595333,0.03446802007773319,0.04474084037883275
550,1,1,2,1,10,35,3-4,-0.423077,0.03796216075595333,0.03446802007773319,0.04243505188421262
551,4,1,1,2,9,34,3-4,-0.099975,0.03796216075595333,0.03446802007773319,0.04243505188421262
562,2,1,1,2,8,62,3-4,-0.507831,0.023141448544722432,0.04219553610623163,0.02858075450493573
567,2,1,2,1,10,45,4-3,-0.283832,0.023141448544722432,0.04219553610623163,0.01806605498603392
575,2,1,1,1,10,64,3-4,-0.285418,0.03796216075595333,0.03446802007773319,0.038167666632695045
576,4,1,1,1,10,40,3-4,-0.065557,0.03796216075595333,0.03446802007773319,0.03212858545201392
580,11,1,1,1,10,77,4-3,0.657651,0.023141448544722432,0.04219553610623163,0.019902847669052523
581,3,1,1,1,10,66,3-4,-0.199623,0.023141448544722432,0.04219553610623163,0.022724289808328323
587,-1,1,1,2,10,29,0-0,-0.669109,0.03796216075595333,0.03446802007773319,0.04243505188421262
607,2,1,2,1,10,75,3-4,-0.359615,0.023141448544722432,0.04219553610623163,0.0326533973132883
610,-1,1,1,1,10,63,3-4,-0.717804,0.03796216075595333,0.03446802007773319,0.031542212877580994
613,7,1,1,1,10,40,3-4,0.500187,0.03796216075595333,0.03446802007773319,0.01761641779917411
619,12,1,1,1,10,55,4-3,0.73597,0.023141448544722432,0.04219553610623163,0.032924729523716945
624,2,1,1,2,1,46,0-0,-0.003095,0.03796216075595333,0.03446802007773319,0.02850463503504856
635,50,1,1,2,11,76,3-4,3.668925,0.04642580956145555,0.03904400711263111,0.016495532680184298
636,7,1,2,1,10,26,3-4,0.347763,0.04642580956145555,0.03904400711263111,0.016495532680184298
639,11,1,1,2,20,25,4-3,0.511164,0.04642580956145555,0.03904400711263111,0.011256845210307622
643,8,1,2,1,10,75,4-3,0.801611,0.046262635908784364,0.05799156209254766,0.007269512842985963
648,5,1,1,1,10,45,4-3,0.009226,0.046262635908784364,0.05799156209254766,0.00581561027438877
653,6,1,1,2,12,61,3-4,0.140794,0.04642580956145555,0.03904400711263111,0.016495532680184298
661,2,1,2,1,10,27,4-3,-0.255192,0.046262635908784364,0.05799156209254766,0.0069640922287562655
668,1,1,2,1,10,75,3-4,-0.517927,0.04642580956145555,0.03904400711263111,0.011590641667158879
669,2,1,2,2,9,74,4-3,-0.495867,0.04642580956145555,0.03904400711263111,0.016194139839824262
672,9,1,2,1,10,60,4-3,0.618748,0.046262635908784364,0.05799156209254766,0.0031587826190266543
679,13,1,1,1,10,54,4-3,0.755966,0.046262635908784364,0.05799156209254766,0.0055374112263577874
680,8,1,1,1,10,41,4-3,0.387677,0.046262635908784364,0.05799156209254766,0.0055374112263577874
686,4,1,2,1,10,75,4-3,-0.063134,0.04642580956145555,0.03904400711263111,0.010199569849604096
688,1,1,2,1,10,75,3-4,-0.517927,0.04642580956145555,0.03904400711263111,0.013514861175749557
692,13,1,1,2,10,42,4-3,1.437074,0.04642580956145555,0.03904400711263111,0.02377425078927712
698,6,1,1,1,10,78,4-3,0.308536,0.046262635908784364,0.05799156209254766,0.0034289276807980052
706,-1,1,3,1,10,75,3-4,-0.78828,0.04642580956145555,0.03904400711263111,0.011590641667158879
710,7,1,1,1,10,68,3-4,0.395081,0.046262635908784364,0.05799156209254766,0.007269512842985963
711,1,1,1,2,3,61,4-3,-0.635714,0.046262635908784364,0.05799156209254766,0.007269512842985963
717,-2,1,2,2,8,73,3-4,-0.960806,0.04642580956145555,0.03904400711263111,0.01578159164306022
718,16,1,1,3,10,75,3-4,2.272199,0.04642580956145555,0.03904400711263111,0.016495532680184298
719,2,1,1,1,10,59,3-4,-0.229751,0.04642580956145555,0.03904400711263111,0.017071209356829632
725,3,1,1,2,10,23,3-4,-0.322379,0.04642580956145555,0.03904400711263111,0.012849750324824584
734,4,1,1,1,10,75,3-4,-0.063134,0.04642580956145555,0.03904400711263111,0.01366211959604597
741,3,1,1,1,10,63,4-3,-0.139847,0.046262635908784364,0.05799156209254766,0.0055374112263577874
752,1,1,1,2,5,67,3-4,-0.760776,0.04642580956145555,0.03904400711263111,0.013514861175749557
754,0,1,1,1,10,53,3-4,-0.483075,0.04642580956145555,0.03904400711263111,0.012849750324824584
759,5,1,1,1,10,30,3-4,0.105825,0.04642580956145555,0.03904400711263111,0.01974232739481659
763,5,1,1,2,7,78,4-3,0.138634,0.046262635908784364,0.05799156209254766,0.0055374112263577874
764,24,1,3,3,2,73,4-3,1.99888,0.046262635908784364,0.05799156209254766,0.00804090165494126
765,1,1,3,1,10,49,4-3,-0.427004,0.046262635908784364,0.05799156209254766,0.007115318793013744
766,8,1,2,2,9,48,4-3,0.715617,0.046262635908784364,0.05799156209254766,0.004429928981086229
767,0,1,3,3,1,40,0-0,-1.415563,0.046262635908784364,0.05799156209254766,0.0035115107763909574
768,1,1,3,4,1,40,0-0,1.602162,0.046262635908784364,0.05799156209254766,0.0035115107763909574
769,-1,1,3,1,15,44,0-0,-0.670819,0.046262635908784364,0.05799156209254766,0.010034009770523138
770,4,1,1,1,10,75,3-4,-0.05709,0.011854745019880705,0.03659961964607415,0.02827139049352993
772,2,1,1,3,3,68,4-3,-1.040535,0.011854745019880705,0.03659961964607415,0.02827139049352993
774,4,1,3,2,6,74,4-3,-0.09631,0.0047349631703156175,0.02971657026358872,0.019755118083328266
776,0,1,2,1,10,74,4-3,-0.602348,0.011854745019880705,0.03659961964607415,0.039730214029858706
778,2,1,1,1,10,57,4-3,-0.211444,0.011854745019880705,0.03659961964607415,0.039730214029858706
779,7,1,1,2,8,55,4-3,0.535946,0.011854745019880705,0.03659961964607415,0.016353721665872758
782,3,1,1,2,10,46,4-3,-0.554878,0.011854745019880705,0.03659961964607415,0.007186662836809737
784,5,1,2,1,10,35,4-3,0.050471,0.011854745019880705,0.03659961964607415,0.02184816329193123
785,-2,1,1,2,5,30,4-3,-0.749377,0.011854745019880705,0.03659961964607415,0.037332027603797106
788,3,1,0,2,8,73,4-3,-0.36082,0.0047349631703156175,0.02971657026358872,0.019755118083328266
793,17,1,1,1,10,39,4-3,0.920129,0.011854745019880705,0.03659961964607415,0.02488751113382523
794,9,1,1,1,10,22,4-3,0.349519,0.011854745019880705,0.03659961964607415,0.02488751113382523
802,3,2,1,2,5,74,4-3,-0.27949,0.0047349631703156175,0.02971657026358872,0.019755118083328266
807,2,2,1,1,10,41,4-3,-0.324326,0.0047349631703156175,0.02971657026358872,0.011496940765852
808,6,1,1,2,8,39,4-3,0.187501,0.0047349631703156175,0.02971657026358872,0.01667135294889929
809,4,1,1,3,2,33,4-3,0.979375,0.0047349631703156175,0.02971657026358872,0.01667135294889929
811,2,1,1,2,10,29,4-3,-0.39568,0.0047349631703156175,0.02971657026358872,0.019755118083328266
814,2,1,1,1,10,47,4-3,-0.3026,0.011854745019880705,0.03659961964607415,0.02488751113382523
815,7,1,1,2,8,45,4-3,0.547805,0.011854745019880705,0.03659961964607415,0.02488751113382523
816,13,1,2,3,1,38,4-3,0.874983,0.011854745019880705,0.03659961964607415,0.02236682751008508
819,8,2,2,1,10,58,4-3,0.524413,0.0047349631703156175,0.02971657026358872,0.012512054176518548
820,4,2,2,2,2,50,4-3,0.158933,0.0047349631703156175,0.02971657026358872,0.012512054176518548
821,-3,2,2,1,10,46,4-3,-0.818148,0.0047349631703156175,0.02971657026358872,0.024030617108082075
824,3,1,1,2,5,70,4-3,-0.40511200000000003,0.011854745019880705,0.03659961964607415,0.016353721665872758
836,8,1,1,2,10,57,0-0,0.438145,0.0047349631703156175,0.02971657026358872,0.026289851436354185
838,-3,2,2,1,10,33,4-3,-0.787503,0.0047349631703156175,0.02971657026358872,0.03693490424145897
839,3,1,1,2,13,36,4-3,-0.228873,0.0047349631703156175,0.02971657026358872,0.015804094466662613
841,9,1,1,1,10,69,4-3,0.78837,0.011854745019880705,0.03659961964607415,0.02827139049352993
842,2,1,2,2,1,60,4-3,-0.246537,0.011854745019880705,0.03659961964607415,0.02827139049352993
845,8,1,2,2,10,48,4-3,0.383665,0.011854745019880705,0.03659961964607415,0.016353721665872758
846,0,1,1,3,2,40,4-3,-4.533582,0.011854745019880705,0.03659961964607415,0.02827139049352993
848,5,1,3,1,10,27,4-3,0.094261,0.0047349631703156175,0.02971657026358872,0.01333708235911943
859,1,2,2,1,10,54,4-3,-0.377001,0.0047349631703156175,0.02971657026358872,0.016307584475836606
875,4,1,2,1,10,75,4-3,-0.063134,0.0047349631703156175,0.02971657026358872,0.019755118083328266
881,6,1,2,1,10,75,4-3,0.355489,0.0047349631703156175,0.02971657026358872,0.03693490424145897
882,5,1,2,2,4,69,4-3,0.351606,0.0047349631703156175,0.02971657026358872,0.03693490424145897
883,1,2,1,1,10,64,4-3,-0.434023,0.0047349631703156175,0.02971657026358872,0.03693490424145897
884,1,1,1,2,9,63,4-3,-0.758257,0.0047349631703156175,0.02971657026358872,0.019755118083328266
887,9,1,1,1,10,64,4-3,0.682395,0.011854745019880705,0.03659961964607415,0.02827139049352993
888,13,1,1,2,1,55,4-3,0.544474,0.011854745019880705,0.03659961964607415,0.029153614999301875
889,13,1,1,1,10,42,4-3,0.675981,0.011854745019880705,0.03659961964607415,0.016353721665872758
890,14,1,1,1,10,29,4-3,0.837947,0.011854745019880705,0.03659961964607415,0.016353721665872758
892,4,1,1,1,10,60,4-3,-0.023988,0.0047349631703156175,0.02971657026358872,0.013523589361216578
905,0,1,1,1,10,69,4-3,-0.526508,0.011854745019880705,0.03659961964607415,0.02827139049352993
910,0,1,2,1,10,47,4-3,-0.820164,0.011854745019880705,0.03659961964607415,0.030073633059637648
912,-2,1,1,1,10,35,4-3,-0.757028,0.011854745019880705,0.03659961964607415,0.006480883232192178
914,8,1,2,1,10,24,4-3,0.257299,0.011854745019880705,0.03659961964607415,0.018355045549018956
921,-2,1,2,3,1,47,4-3,-2.116097,0.0047349631703156175,0.02971657026358872,0.03218128803160676
925,12,1,2,2,1,66,3-4,0.200408,0.02520849962944511,0.029556172413161892,0.0289090598572228
926,3,1,2,1,10,54,3-4,-0.202346,0.02520849962944511,0.029556172413161892,0.02658644777517575
928,8,1,2,1,10,43,3-4,0.34972,0.02520849962944511,0.029556172413161892,0.0321656979802369
929,2,1,2,2,2,35,3-4,0.11678,0.02520849962944511,0.029556172413161892,0.028103325314702107
935,2,2,1,1,10,59,3-4,-0.229751,0.04686992018389902,0.048033463686989276,0.028311516369293313
936,7,2,1,2,8,57,3-4,0.531312,0.04686992018389902,0.048033463686989276,0.028170037538271943
939,5,2,1,1,10,22,3-4,0.102921,0.04686992018389902,0.048033463686989276,0.025108337326215507
942,7,1,1,1,10,75,3-4,0.534373,0.02520849962944511,0.029556172413161892,0.01808161951546585
943,12,1,1,2,3,68,3-4,0.499039,0.02520849962944511,0.029556172413161892,0.017734183052974358
948,-2,1,2,2,17,47,3-4,-1.260982,0.02520849962944511,0.029556172413161892,0.02857649818064369
957,6,2,1,1,10,55,3-4,0.206524,0.04686992018389902,0.048033463686989276,0.021701729592977764
